date,OT
1972-02-01,1752.9
1972-03-01,1771.7
1972-04-01,1779.3
1972-05-01,1786.8
1972-06-01,1797.8
1972-07-01,1817.0
1972-08-01,1834.6
1972-09-01,1848.7
1972-10-01,1864.7
1972-11-01,1872.4
1972-12-01,1887.8
1973-01-01,1897.7
1973-02-01,1893.3
1973-03-01,1878.6
1973-04-01,1875.7
1973-05-01,1883.4
1973-06-01,1885.3
1973-07-01,1892.5
1973-08-01,1864.0
1973-09-01,1856.9
1973-10-01,1847.8
1973-11-01,1849.5
1973-12-01,1847.7
1974-01-01,1837.0
1974-02-01,1827.1
1974-03-01,1820.3
1974-04-01,1814.8
1974-05-01,1799.6
1974-06-01,1791.4
1974-07-01,1787.8
1974-08-01,1771.7
1974-09-01,1754.7
1974-10-01,1751.6
1974-11-01,1744.9
1974-12-01,1738.2
1975-01-01,1732.9
1975-02-01,1737.8
1975-03-01,1751.9
1975-04-01,1764.3
1975-05-01,1785.1
1975-06-01,1800.0
1975-07-01,1805.7
1975-08-01,1813.8
1975-09-01,1815.9
1975-10-01,1817.5
1975-11-01,1820.8
1975-12-01,1827.7
1976-01-01,1839.8
1976-02-01,1861.0
1976-03-01,1875.0
1976-04-01,1890.9
1976-05-01,1900.9
1976-06-01,1900.5
1976-07-01,1905.8
1976-08-01,1917.5
1976-09-01,1928.5
1976-10-01,1943.0
1976-11-01,1959.0
1976-12-01,1972.6
1977-01-01,1985.0
1977-02-01,1985.8
1977-03-01,1994.1
1977-04-01,1999.3
1977-05-01,2008.3
1977-06-01,2012.9
1977-07-01,2017.6
1977-08-01,2024.5
1977-09-01,2033.0
1977-10-01,2035.7
1977-11-01,2036.1
1977-12-01,2039.0
1978-01-01,2041.0
1978-02-01,2040.5
1978-03-01,2038.2
1978-04-01,2035.1
1978-05-01,2031.8
1978-06-01,2028.5
1978-07-01,2021.5
1978-08-01,2023.5
1978-09-01,2022.6
1978-10-01,2015.4
1978-11-01,2013.5
1978-12-01,2011.8
1979-01-01,2002.3
1979-02-01,1991.0
1979-03-01,1985.4
1979-04-01,1986.0
1979-05-01,1975.1
1979-06-01,1970.9
1979-07-01,1965.5
1979-08-01,1962.8
1979-09-01,1954.4
1979-10-01,1942.0
1979-11-01,1928.8
1979-12-01,1916.4
1980-01-01,1900.9
1980-02-01,1891.9
1980-03-01,1872.4
1980-04-01,1856.9
1980-05-01,1851.0
1980-06-01,1853.6
1980-07-01,1871.1
1980-08-01,1876.8
1980-09-01,1876.0
1980-10-01,1871.1
1980-11-01,1864.3
1980-12-01,1851.6
1981-01-01,1842.8
1981-02-01,1839.4
1981-03-01,1847.2
1981-04-01,1862.2
1981-05-01,1855.3
1981-06-01,1845.6
1981-07-01,1838.1
1981-08-01,1837.6
1981-09-01,1832.4
1981-10-01,1843.5
1981-11-01,1850.9
1981-12-01,1865.6
1982-01-01,1875.4
1982-02-01,1873.8
1982-03-01,1886.5
1982-04-01,1898.8
1982-05-01,1893.0
1982-06-01,1882.5
1982-07-01,1878.5
1982-08-01,1888.6
1982-09-01,1902.1
1982-10-01,1905.9
1982-11-01,1922.1
1982-12-01,1950.8
1983-01-01,2001.4
1983-02-01,2037.6
1983-03-01,2054.2
1983-04-01,2053.2
1983-05-01,2059.6
1983-06-01,2065.9
1983-07-01,2068.9
1983-08-01,2071.9
1983-09-01,2074.9
1983-10-01,2082.6
1983-11-01,2089.3
1983-12-01,2094.2
1984-01-01,2094.2
1984-02-01,2103.5
1984-03-01,2113.9
1984-04-01,2121.7
1984-05-01,2129.6
1984-06-01,2136.1
1984-07-01,2135.9
1984-08-01,2136.4
1984-09-01,2143.6
1984-10-01,2149.3
1984-11-01,2166.6
1984-12-01,2186.2
1985-01-01,2206.6
1985-02-01,2214.6
1985-03-01,2215.5
1985-04-01,2220.0
1985-05-01,2229.0
1985-06-01,2244.3
1985-07-01,2255.8
1985-08-01,2265.1
1985-09-01,2272.3
1985-10-01,2274.7
1985-11-01,2273.2
1985-12-01,2275.9
1986-01-01,2276.7
1986-02-01,2290.7
1986-03-01,2321.8
1986-04-01,2353.1
1986-05-01,2371.4
1986-06-01,2381.2
1986-07-01,2398.7
1986-08-01,2414.7
1986-09-01,2425.3
1986-10-01,2438.7
1986-11-01,2446.8
1986-12-01,2462.1
1987-01-01,2463.1
1987-02-01,2457.5
1987-03-01,2454.3
1987-04-01,2455.8
1987-05-01,2453.9
1987-06-01,2444.6
1987-07-01,2442.0
1987-08-01,2439.4
1987-09-01,2440.7
1987-10-01,2447.7
1987-11-01,2442.7
1987-12-01,2445.0
1988-01-01,2454.7
1988-02-01,2470.2
1988-03-01,2481.3
1988-04-01,2483.5
1988-05-01,2490.2
1988-06-01,2490.2
1988-07-01,2487.1
1988-08-01,2480.7
1988-09-01,2474.4
1988-10-01,2473.1
1988-11-01,2477.3
1988-12-01,2475.7
1989-01-01,2468.4
1989-02-01,2460.7
1989-03-01,2454.7
1989-04-01,2441.9
1989-05-01,2434.6
1989-06-01,2439.9
1989-07-01,2451.7
1989-08-01,2469.4
1989-09-01,2478.0
1989-10-01,2483.3
1989-11-01,2488.7
1989-12-01,2496.0
1990-01-01,2483.8
1990-02-01,2483.8
1990-03-01,2480.6
1990-04-01,2483.8
1990-05-01,2479.2
1990-06-01,2474.0
1990-07-01,2470.9
1990-08-01,2463.5
1990-09-01,2456.3
1990-10-01,2443.3
1990-11-01,2440.2
1990-12-01,2438.0
1991-01-01,2440.8
1991-02-01,2451.4
1991-03-01,2464.3
1991-04-01,2466.6
1991-05-01,2465.3
1991-06-01,2464.6
1991-07-01,2464.1
1991-08-01,2456.1
1991-09-01,2448.8
1991-10-01,2449.1
1991-11-01,2442.3
1991-12-01,2440.1
1992-01-01,2444.8
1992-02-01,2453.1
1992-03-01,2447.1
1992-04-01,2438.8
1992-05-01,2432.8
1992-06-01,2422.1
1992-07-01,2415.6
1992-08-01,2413.9
1992-09-01,2416.9
1992-10-01,2416.2
1992-11-01,2411.3
1992-12-01,2406.7
1993-01-01,2394.3
1993-02-01,2386.1
1993-03-01,2380.8
1993-04-01,2372.3
1993-05-01,2383.4
1993-06-01,2385.6
1993-07-01,2382.0
1993-08-01,2379.6
1993-09-01,2380.8
1993-10-01,2374.1
1993-11-01,2376.8
1993-12-01,2374.9
1994-01-01,2375.2
1994-02-01,2369.3
1994-03-01,2365.8
1994-04-01,2365.0
1994-05-01,2366.6
1994-06-01,2352.6
1994-07-01,2350.5
1994-08-01,2339.4
1994-09-01,2335.0
1994-10-01,2332.2
1994-11-01,2327.9
1994-12-01,2322.7
1995-01-01,2320.5
1995-02-01,2312.7
1995-03-01,2308.9
1995-04-01,2305.1
1995-05-01,2317.0
1995-06-01,2328.7
1995-07-01,2337.7
1995-08-01,2347.3
1995-09-01,2352.8
1995-10-01,2354.0
1995-11-01,2355.2
1995-12-01,2358.3
1996-01-01,2358.0
1996-02-01,2362.5
1996-03-01,2371.1
1996-04-01,2368.9
1996-05-01,2371.9
1996-06-01,2375.7
1996-07-01,2380.4
1996-08-01,2381.9
1996-09-01,2380.3
1996-10-01,2383.7
1996-11-01,2388.3
1996-12-01,2395.0
1997-01-01,2399.5
1997-02-01,2402.3
1997-03-01,2410.1
1997-04-01,2418.6
1997-05-01,2426.0
1997-06-01,2432.0
1997-07-01,2440.1
1997-08-01,2454.9
1997-09-01,2458.6
1997-10-01,2465.8
1997-11-01,2476.7
1997-12-01,2486.4
1998-01-01,2497.7
1998-02-01,2517.9
1998-03-01,2533.7
1998-04-01,2546.4
1998-05-01,2554.9
1998-06-01,2563.9
1998-07-01,2569.7
1998-08-01,2581.9
1998-09-01,2604.1
1998-10-01,2622.2
1998-11-01,2642.8
1998-12-01,2655.5
1999-01-01,2667.3
1999-02-01,2681.1
1999-03-01,2683.7
1999-04-01,2683.1
1999-05-01,2696.1
1999-06-01,2709.2
1999-07-01,2714.2
1999-08-01,2718.0
1999-09-01,2716.3
1999-10-01,2725.5
1999-11-01,2731.9
1999-12-01,2741.8
2000-01-01,2750.3
2000-02-01,2746.8
2000-03-01,2748.8
2000-04-01,2783.0
2000-05-01,2770.9
2000-06-01,2765.1
2000-07-01,2767.2
2000-08-01,2783.6
2000-09-01,2789.6
2000-10-01,2794.0
2000-11-01,2795.5
2000-12-01,2814.7
2001-01-01,2827.4
2001-02-01,2842.7
2001-03-01,2874.0
2001-04-01,2905.3
2001-05-01,2888.8
2001-06-01,2905.0
2001-07-01,2926.7
2001-08-01,2945.8
2001-09-01,2996.7
2001-10-01,2998.7
2001-11-01,3025.0
2001-12-01,3056.6
2002-01-01,3062.9
2002-02-01,3074.3
2002-03-01,3072.4
2002-04-01,3058.7
2002-05-01,3069.7
2002-06-01,3082.0
2002-07-01,3098.7
2002-08-01,3113.7
2002-09-01,3122.0
2002-10-01,3139.7
2002-11-01,3162.1
2002-12-01,3168.6
2003-01-01,3172.5
2003-02-01,3174.9
2003-03-01,3181.0
2003-04-01,3213.5
2003-05-01,3251.7
2003-06-01,3268.2
2003-07-01,3282.9
2003-08-01,3300.1
2003-09-01,3274.3
2003-10-01,3272.9
2003-11-01,3273.8
2003-12-01,3264.0
2004-01-01,3254.5
2004-02-01,3268.4
2004-03-01,3280.5
2004-04-01,3297.1
2004-05-01,3323.8
2004-06-01,3312.7
2004-07-01,3316.4
2004-08-01,3328.5
2004-09-01,3336.2
2004-10-01,3333.5
2004-11-01,3331.7
2004-12-01,3341.4
2005-01-01,3346.4
2005-02-01,3336.8
2005-03-01,3329.4
2005-04-01,3326.3
2005-05-01,3336.9
2005-06-01,3351.9
2005-07-01,3347.5
2005-08-01,3343.8
2005-09-01,3315.3
2005-10-01,3327.6
2005-11-01,3352.7
2005-12-01,3366.2
2006-01-01,3367.3
2006-02-01,3377.7
2006-03-01,3379.9
2006-04-01,3381.5
2006-05-01,3374.8
2006-06-01,3385.2
2006-07-01,3387.3
2006-08-01,3387.5
2006-09-01,3417.5
2006-10-01,3457.2
2006-11-01,3472.7
2006-12-01,3475.1
2007-01-01,3488.0
2007-02-01,3482.3
2007-03-01,3480.7
2007-04-01,3505.4
2007-05-01,3497.5
2007-06-01,3505.5
2007-07-01,3513.8
2007-08-01,3549.5
2007-09-01,3543.2
2007-10-01,3539.0
2007-11-01,3523.2
2007-12-01,3527.3
2008-01-01,3531.2
2008-02-01,3562.5
2008-03-01,3580.6
2008-04-01,3592.4
2008-05-01,3576.8
2008-06-01,3547.7
2008-07-01,3543.8
2008-08-01,3555.9
2008-09-01,3584.9
2008-10-01,3666.0
2008-11-01,3755.8
2008-12-01,3870.4
2009-01-01,3899.0
2009-02-01,3898.6
2009-03-01,3933.5
2009-04-01,3930.9
2009-05-01,3952.0
2009-06-01,3923.9
2009-07-01,3927.3
2009-08-01,3914.0
2009-09-01,3906.1
2009-10-01,3906.9
2009-11-01,3907.7
2009-12-01,3903.4
2010-01-01,3883.5
2010-02-01,3910.0
2010-03-01,3907.4
2010-04-01,3920.4
2010-05-01,3947.6
2010-06-01,3958.1
2010-07-01,3955.1
2010-08-01,3972.5
2010-09-01,3980.3
2010-10-01,3988.9
2010-11-01,3988.2
2010-12-01,3986.8
2011-01-01,3990.4
2011-02-01,3998.1
2011-03-01,3997.4
2011-04-01,4006.5
2011-05-01,4016.6
2011-06-01,4054.0
2011-07-01,4126.8
2011-08-01,4208.3
2011-09-01,4210.1
2011-10-01,4221.2
2011-11-01,4231.4
2011-12-01,4247.5
2012-01-01,4270.8
2012-02-01,4280.4
2012-03-01,4291.0
2012-04-01,4307.6
2012-05-01,4330.3
2012-06-01,4364.4
2012-07-01,4395.2
2012-08-01,4400.7
2012-09-01,4415.4
2012-10-01,4430.0
2012-11-01,4462.8
2012-12-01,4517.7
2013-01-01,4519.9
2013-02-01,4494.1
2013-03-01,4537.6
2013-04-01,4562.3
2013-05-01,4576.0
2013-06-01,4588.6
2013-07-01,4603.6
2013-08-01,4617.7
2013-09-01,4638.4
2013-10-01,4684.2
2013-11-01,4678.9
2013-12-01,4693.2
2014-01-01,4703.3
2014-02-01,4733.2
2014-03-01,4741.2
2014-04-01,4756.2
2014-05-01,4775.7
2014-06-01,4791.4
2014-07-01,4811.8
2014-08-01,4824.9
2014-09-01,4839.3
2014-10-01,4865.7
2014-11-01,4891.4
2014-12-01,4939.8
2015-01-01,4998.9
2015-02-01,5038.6
2015-03-01,5029.1
2015-04-01,5046.0
2015-05-01,5041.8
2015-06-01,5045.9
2015-07-01,5060.0
2015-08-01,5082.2
2015-09-01,5117.3
2015-10-01,5125.7
2015-11-01,5158.4
2015-12-01,5187.2
2016-01-01,5239.6
2016-02-01,5278.0
2016-03-01,5291.3
2016-04-01,5311.4
2016-05-01,5324.9
2016-06-01,5337.8
2016-07-01,5363.6
2016-08-01,5389.9
2016-09-01,5406.1
2016-10-01,5422.4
2016-11-01,5445.0
2016-12-01,5441.2
2017-01-01,5448.6
2017-02-01,5468.2
2017-03-01,5499.7
2017-04-01,5519.5
2017-05-01,5542.2
2017-06-01,5549.5
2017-07-01,5571.5
2017-08-01,5573.2
2017-09-01,5566.5
2017-10-01,5587.9
2017-11-01,5583.4
2017-12-01,5587.7
2018-01-01,5572.1
2018-02-01,5570.3
2018-03-01,5587.7
2018-04-01,5591.6
2018-05-01,5600.8
2018-06-01,5617.6
2018-07-01,5623.6
2018-08-01,5634.0
2018-09-01,5644.7
2018-10-01,5635.7
2018-11-01,5643.5
2018-12-01,5685.3
2019-01-01,5716.7
2019-02-01,5713.2
2019-03-01,5703.4
2019-04-01,5703.6
2019-05-01,5734.9
2019-06-01,5785.7
2019-07-01,5805.4
2019-08-01,5834.3
